*** NetworKit Unit Tests *** 
Note: Google Test filter = *.solveMtx
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from LaplacianSolverBenchmark
[ RUN      ] LaplacianSolverBenchmark.solveMtx
seed: 341758612
40000
1
root: 36694
Readed spanning tree form tree.txt
init finished
begin: main
Iter 0, Residual:1140.59
Iter 25800000, Residual:0.00196035
Iter 25840000, Residual:0.00201821
Iter 25880000, Residual:0.00214367
Iter 25920000, Residual:0.00195269
Iter 25960000, Residual:0.00199617
Iter 26000000, Residual:0.00186012
Iter 26040000, Residual:0.00192346
Iter 26080000, Residual:0.00199773
Iter 26120000, Residual:0.00207528
Iter 26160000, Residual:0.00212757
Iter 26200000, Residual:0.00193276
Iter 26240000, Residual:0.00185755
Iter 26280000, Residual:0.00195594
Iter 26320000, Residual:0.00187243
Iter 26360000, Residual:0.00193991
Iter 26400000, Residual:0.00215169
Iter 26440000, Residual:0.00201948
Iter 26480000, Residual:0.00191697
Iter 26520000, Residual:0.00197547
Iter 26560000, Residual:0.00207536
Iter 26600000, Residual:0.00179126
Iter 26640000, Residual:0.00194844
Iter 26680000, Residual:0.00187701
Iter 26720000, Residual:0.00176058
Iter 26760000, Residual:0.00183964
Iter 26800000, Residual:0.00189939
Iter 26840000, Residual:0.00196218
Iter 26880000, Residual:0.0016771
Iter 26920000, Residual:0.0018256
Iter 26960000, Residual:0.00159963
Iter 27000000, Residual:0.00157758
Iter 27040000, Residual:0.00168625
Iter 27080000, Residual:0.00211746
Iter 27120000, Residual:0.00175144
Iter 27160000, Residual:0.00157657
Iter 27200000, Residual:0.00171081
Iter 27240000, Residual:0.00159852
Iter 27280000, Residual:0.00166704
Iter 27320000, Residual:0.00177765
Iter 27360000, Residual:0.00152471
Iter 27400000, Residual:0.00154026
Iter 27440000, Residual:0.00177077
Iter 27480000, Residual:0.00154391
Iter 27520000, Residual:0.0015144
Iter 27560000, Residual:0.00141033
Iter 27600000, Residual:0.0015381
Iter 27640000, Residual:0.00144247
Iter 27680000, Residual:0.00140253
Iter 27720000, Residual:0.0014668
Iter 27760000, Residual:0.00153564
Iter 27800000, Residual:0.00142476
Iter 27840000, Residual:0.00143165
Iter 27880000, Residual:0.00133519
Iter 27920000, Residual:0.00141696
Iter 27960000, Residual:0.00138801
Iter 28000000, Residual:0.00130043
Iter 28040000, Residual:0.00143
Iter 28080000, Residual:0.00154168
Iter 28120000, Residual:0.00136564
Iter 28160000, Residual:0.00139985
Iter 28200000, Residual:0.00140203
Iter 28240000, Residual:0.00133084
Iter 28280000, Residual:0.00146144
Iter 28320000, Residual:0.00140724
Iter 28360000, Residual:0.00133478
Iter 28400000, Residual:0.00129086
Iter 28440000, Residual:0.00127355
Iter 28480000, Residual:0.00125428
Iter 28520000, Residual:0.0013279
Iter 28560000, Residual:0.00128022
Iter 28600000, Residual:0.00130456
Iter 28640000, Residual:0.00128592
Iter 28680000, Residual:0.00138605
Iter 28720000, Residual:0.00133131
Iter 28760000, Residual:0.00125698
Iter 28800000, Residual:0.00128864
Iter 28840000, Residual:0.00138757
Iter 28880000, Residual:0.00121572
Iter 28920000, Residual:0.00118986
Iter 28960000, Residual:0.00124833
Iter 29000000, Residual:0.00118787
Iter 29040000, Residual:0.00125185
Iter 29080000, Residual:0.00114103
Iter 29120000, Residual:0.00120738
Iter 29160000, Residual:0.00119486
Iter 29200000, Residual:0.00115666
Iter 29240000, Residual:0.00119128
Iter 29280000, Residual:0.00125174
Iter 29320000, Residual:0.00117757
